gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\ARB\ARB_get_texture_sub_image.txt                      : Dependencies on ARB_direct_state_access
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Dependencies on ARB_draw_buffers
gl ext spec\NV\NV_fragment_program4.txt                            : Dependencies on ARB_draw_buffers and ATI_draw_buffers
gl ext spec\ARB\ARB_framebuffer_sRGB.txt                           : Dependencies on ARB_draw_buffers, EXT_texture_sRGB, and ARB_framebuffer_object
gl ext spec\EXT\EXT_framebuffer_sRGB.txt                           : Dependencies on ARB_draw_buffers, EXT_texture_sRGB, and EXT_framebuffer_object
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Dependencies on ARB_draw_buffers_blend
gl ext spec\ARB\ARB_shader_image_load_store.txt                    : Dependencies on ARB_draw_indirect
gl ext spec\ARB\ARB_instanced_arrays.txt                           : Dependencies on ARB_draw_instanced
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_ES3_compatibility
gl ext spec\NV\NV_conditional_render.txt                           : Dependencies on ARB_ES3_compatibility and OpenGL 4.3
gl ext spec\ARB\ARB_vertex_attrib_64bit.txt                        : Dependencies on ARB_explicit_attrib_location, ARB_separate_shader_objects, OpenGL 3.3, and OpenGL 4.1
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on ARB_explicit_attrib_location, ARB_vertex_attrib_64bit, OpenGL
gl ext spec\APPLE\APPLE_float_pixels.txt                           : Dependencies on ARB_fragment_program
gl ext spec\ARB\ARB_fragment_coord_conventions.txt                 : Dependencies on ARB_fragment_program extension
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on ARB_fragment_program, ARB_fragment_shader, and ARB_vertex_shader
gl ext spec\NV\NV_fragment_program4.txt                            : Dependencies on ARB_fragment_program_shadow
gl ext spec\APPLE\APPLE_float_pixels.txt                           : Dependencies on ARB_fragment_shader
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_framebuffer_object
gl ext spec\EXT\EXT_texture_sRGB_decode.txt                        : Dependencies on ARB_framebuffer_object or OpenGL 3.0 or later
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on ARB_framebuffer_sRGB
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_geometry_shader4
gl ext spec\EXT\EXT_separate_shader_objects.gl.txt                 : Dependencies on ARB_geometry_shader4, EXT_geometry_shader4, and/or NV_geometry_shader4
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on ARB_geometry_shader4, EXT_geometry_shader4, NV_geometry_- shader4, and/or OpenGL version 3.2
gl ext spec\EXT\EXT_provoking_vertex.txt                           : Dependencies on ARB_geometry_shader4, EXT_geometry_shader4, NV_geometry_shader4, and/or NV_gpu_program4:
gl ext spec\ARB\ARB_provoking_vertex.txt                           : Dependencies on ARB_geometry_shader4, EXT_geometry_shader4, NV_geometry_shader4, NV_gpu_program4, and/or the geometry shader functionality integrated into the core by OpenGL 3.2:
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Dependencies on ARB_gpu_shader_fp64
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on ARB_gpu_shader_fp64 and OpenGL 4.0
gl ext spec\AMD\AMD_gpu_shader_half_float.txt                      : Dependencies on ARB_gpu_shader_int64
gl ext spec\AMD\AMD_gpu_shader_int16.txt                           : Dependencies on ARB_gpu_shader_int64:
gl ext spec\ARB\ARB_gpu_shader_fp64.txt                            : Dependencies on ARB_gpu_shader5
gl ext spec\ARB\ARB_texture_buffer_object.txt                      : Dependencies on ARB_half_float_pixel
gl ext spec\ARB\ARB_draw_indirect.txt                              : Dependencies on ARB_instanced_arrays
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on ARB_internalformat_query2
gl ext spec\ARB\ARB_fragment_program.txt                           : Dependencies on ARB_matrix_palette:
gl ext spec\ARB\ARB_point_parameters.txt                           : Dependencies on ARB_multisample
gl ext spec\EXT\EXT_texture_env_dot3.txt                           : Dependencies on ARB_multitexture
gl ext spec\EXT\EXT_timer_query.txt                                : Dependencies on ARB_occlusion_query and NV_occlusion_query
gl ext spec\NV\NV_present_video.txt                                : Dependencies on ARB_occlusion_query:
gl ext spec\NV\NV_conditional_render.txt                           : Dependencies on ARB_occlusion_query2 and OpenGL 3.3
gl ext spec\ARB\ARB_gl_spirv.txt                                   : Dependencies on ARB_parallel_shader_compile
gl ext spec\ARB\ARB_gl_spirv.txt                                   : Dependencies on ARB_program_interface_query
gl ext spec\NV\NV_path_rendering.txt                               : Dependencies on ARB_program_interface_query.
gl ext spec\NV\NV_gpu_multicast.txt                                : Dependencies on ARB_sample_locations
gl ext spec\NV\NV_shading_rate_image.txt                           : Dependencies on ARB_sample_locations and NV_sample_locations
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Dependencies on ARB_sample_shading
gl ext spec\ARB\ARB_texture_mirror_clamp_to_edge.txt               : Dependencies on ARB_sampler_objects or equivalent
gl ext spec\EXT\EXT_texture_sRGB_decode.txt                        : Dependencies on ARB_sampler_objects or OpenGL 3.3 or later
gl ext spec\AMD\AMD_seamless_cubemap_per_texture.txt               : Dependencies on ARB_seamless_cube_map
gl ext spec\ARB\ARB_gl_spirv.txt                                   : Dependencies on ARB_separate_shader_objects
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : Dependencies on ARB_separate_shader_objects, ARB_gpu_shader_fp64, OpenGL 4.0, and OpenGL 4.1
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on ARB_shader_image_load_store
gl ext spec\ARB\ARB_shader_texture_image_samples.txt               : Dependencies on ARB_shader_image_load_store and GLSL 4.20.
gl ext spec\ARB\ARB_explicit_uniform_location.txt                  : Dependencies on ARB_shader_subroutine
gl ext spec\NV\NV_gpu_multicast.txt                                : Dependencies on ARB_sparse_buffer
gl ext spec\AMD\AMD_gpu_shader_half_float_fetch.txt                : Dependencies on ARB_sparse_texture_clamp
gl ext spec\AMD\AMD_gpu_shader_half_float_fetch.txt                : Dependencies on ARB_sparse_texture2
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_stencil_texturing
gl ext spec\EXT\EXT_x11_sync_object.txt                            : Dependencies on ARB_sync
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_tessellation_shader
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on ARB_tessellation_shader and OpenGL 4.0
gl ext spec\NV\NV_texture_rectangle.txt                            : Dependencies on ARB_texture_border_clamp
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on ARB_texture_buffer_object
gl ext spec\ARB\ARB_texture_compression_rgtc.txt                   : Dependencies on ARB_texture_compression
gl ext spec\EXT\EXT_texture_sRGB.txt                               : Dependencies on ARB_texture_compression and OpenGL 1.3 or later
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_texture_compression_bptc
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_texture_compression_rgtc
gl ext spec\NV\NV_fragment_program.txt                             : Dependencies on ARB_texture_cube_map
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_texture_cube_map_array
gl ext spec\EXT\EXT_texture_shadow_lod.txt                         : Dependencies on ARB_texture_cube_map_array and OpenGL 4.0
gl ext spec\NV\NV_texture_shader.txt                               : Dependencies on ARB_texture_env_add or EXT_texture_env_add
gl ext spec\NV\NV_texture_shader.txt                               : Dependencies on ARB_texture_env_combine or EXT_texture_env_combine
gl ext spec\ARB\ARB_texture_buffer_object.txt                      : Dependencies on ARB_texture_float
gl ext spec\NV\NV_float_buffer.txt                                 : Dependencies on ARB_texture_float and ATI_texture_float
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Dependencies on ARB_texture_gather
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on ARB_texture_multisample
gl ext spec\NV\NV_texture_compression_vtc.txt                      : Dependencies on ARB_texture_non_power_of_two
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on ARB_texture_rectangle
gl ext spec\ARB\ARB_texture_mirror_clamp_to_edge.txt               : Dependencies on ARB_texture_rectangle or equivalent
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on ARB_texture_rg
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on ARB_texture_stencil8
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_texture_storage
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_texture_storage_multisample
gl ext spec\ARB\ARB_texture_gather.txt                             : Dependencies on ARB_texture_swizzle and EXT_texture_swizzle
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on ARB_texture_view
gl ext spec\NV\NV_gpu_program5.txt                                 : Dependencies on ARB_transform_feedback3
gl ext spec\ARB\ARB_fragment_program.txt                           : Dependencies on ARB_transpose_matrix
gl ext spec\ARB\ARB_geometry_shader4.txt                           : Dependencies on ARB_uniform_buffer_object
gl ext spec\NV\NV_uniform_buffer_unified_memory.txt                : Dependencies on ARB_uniform_buffer_object:
gl ext spec\ARB\ARB_vertex_type_10f_11f_11f_rev.txt                : Dependencies on ARB_vertex_attrib_binding and Open GL 4.3
gl ext spec\ATI\ATI_meminfo.txt                                    : Dependencies on ARB_vertex_buffer_object or OpenGL version 1.5
gl ext spec\ATI\ATI_vertex_attrib_array_object.txt                 : Dependencies on ARB_vertex_program
gl ext spec\ARB\ARB_vertex_array_bgra.txt                          : Dependencies on ARB_vertex_program and ARB_vertex_shader
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on ARB_vertex_program, ARB_fragment_program, NV_gpu_program4, and related assembly extensions
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Dependencies on ARB_vertex_shader
gl ext spec\ARB\ARB_vertex_type_10f_11f_11f_rev.txt                : Dependencies on ARB_vertex_type_2_10_10_10_rev
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on ATI_draw_buffers and ARB_draw_buffers
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Dependencies on ATI_pixel_format_float
gl ext spec\ARB\ARB_texture_rectangle.txt                          : Dependencies on ATI_texture_mirror_once
gl ext spec\ATI\ATI_vertex_attrib_array_object.txt                 : Dependencies on ATI_vertex_array_object
gl ext spec\SGIX\SGIX_packed_6bytes.txt                            : Dependencies on Color_table
gl ext spec\ARB\ARB_viewport_array.txt                             : Dependencies on compatibitliy profile contexts
gl ext spec\SGIX\SGIX_packed_6bytes.txt                            : Dependencies on Convolution
gl ext spec\NV\NV_path_rendering.txt                               : Dependencies on Core Profile and OpenGL ES
gl ext spec\OES\OES_EGL_image.txt                                  : Dependencies on EGL_KHR_image, EGL_KHR_image_base, and EGL 1.2
gl ext spec\EXT\EXT_YUV_target.txt                                 : Dependencies on EGL_KHR_image, EGL_KHR_image_base, and EGL 1.4
gl ext spec\NV\NV_EGL_stream_consumer_external.txt                 : Dependencies on EGL_KHR_image_base and EGL_KHR_image
gl ext spec\OES\OES_EGL_image_external.txt                         : Dependencies on EGL_OES_image_base and EGL 1.1
gl ext spec\EXT\EXT_cmyka.txt                                      : Dependencies on EXT_abgr
gl ext spec\EXT\EXT_multi_draw_indirect.txt                        : Dependencies on EXT_base_instance
gl ext spec\ARB\ARB_blend_func_extended.txt                        : Dependencies on EXT_blend_func_separate
gl ext spec\EXT\EXT_blend_equation_separate.txt                    : Dependencies on EXT_blend_logic_op
gl ext spec\EXT\EXT_blend_logic_op.txt                             : Dependencies on EXT_blend_minmax
gl ext spec\EXT\EXT_packed_pixels.txt                              : Dependencies on EXT_cmyka
gl ext spec\NV\NV_packed_float.txt                                 : Dependencies on EXT_color_buffer_half_float
gl ext spec\NV\NV_framebuffer_blit.txt                             : Dependencies on EXT_color_buffer_half_float:
gl ext spec\EXT\EXT_cmyka.txt                                      : Dependencies on EXT_convolution
gl ext spec\EXT\EXT_texture_perturb_normal.txt                     : Dependencies on EXT_coordinate_frame
gl ext spec\EXT\EXT_color_subtable.txt                             : Dependencies on EXT_copy_texture
gl ext spec\APPLE\APPLE_sync.txt                                   : Dependencies on EXT_debug_label
gl ext spec\ARB\ARB_shader_image_load_store.txt                    : Dependencies on EXT_depth_bounds_test
gl ext spec\ARB\ARB_depth_buffer_float.txt                         : Dependencies on EXT_depth_bounds_test:
gl ext spec\AMD\AMD_framebuffer_sample_positions.txt               : Dependencies on EXT_direct_state_access
gl ext spec\NV\GLX_NV_copy_buffer.txt                              : Dependencies on EXT_direct_state_access:
gl ext spec\APPLE\APPLE_framebuffer_multisample.txt                : Dependencies on EXT_discard_framebuffer
gl ext spec\NV\NV_framebuffer_blit.txt                             : Dependencies on EXT_discard_framebuffer:
gl ext spec\EXT\EXT_blend_func_extended.txt                        : Dependencies on EXT_draw_buffers or NV_draw_buffers
gl ext spec\EXT\EXT_blend_func_extended.txt                        : Dependencies on EXT_draw_buffers_indexed
gl ext spec\ARB\ARB_instanced_arrays.txt                           : Dependencies on EXT_draw_instanced
gl ext spec\GREMEDY\GREMEDY_frame_terminator.txt                   : Dependencies on EXT_extension_name
gl ext spec\ARB\ARB_fragment_program.txt                           : Dependencies on EXT_fog_coord
gl ext spec\NV\NV_half_float.txt                                   : Dependencies on EXT_fog_coord, EXT_secondary_color, and EXT_vertex_weighting
gl ext spec\EXT\EXT_light_texture.txt                              : Dependencies on EXT_fragment_lighting
gl ext spec\ARB\ARB_geometry_shader4.txt                           : Dependencies on EXT_framebuffer_blit
gl ext spec\NV\NV_explicit_multisample.txt                         : Dependencies on EXT_framebuffer_multisample
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on EXT_framebuffer_object
gl ext spec\EXT\EXT_texture_buffer_object.txt                      : Dependencies on EXT_framebuffer_object, ARB_framebuffer_object, and OpenGL
gl ext spec\NV\NV_present_video.txt                                : Dependencies on EXT_framebuffer_object:
gl ext spec\EXT\EXT_multi_draw_indirect.txt                        : Dependencies on EXT_geometry_shader
gl ext spec\ARB\ARB_transform_feedback2.txt                        : Dependencies on EXT_geometry_shader4
gl ext spec\NV\NV_gpu_program4.txt                                 : Dependencies on EXT_gpu_program_parameters
gl ext spec\ARB\ARB_instanced_arrays.txt                           : Dependencies on EXT_gpu_shader4
gl ext spec\ARB\ARB_texture_cube_map_array.txt                     : Dependencies on EXT_gpu_shader4 and the OpenGL Shading Language (GLSL)
gl ext spec\ARB\ARB_provoking_vertex.txt                           : Dependencies on EXT_gpu_shader4 and/or the flat shading functionality integrated into the core by OpenGL 3.0:
gl ext spec\EXT\EXT_sparse_texture2.txt                            : Dependencies on EXT_gpu_shader5 and OES_gpu_shader5
gl ext spec\EXT\EXT_cmyka.txt                                      : Dependencies on EXT_histogram
gl ext spec\SGIX\GLX_SGIX_fbconfig.txt                             : Dependencies on EXT_import_context
gl ext spec\EXT\EXT_texture_perturb_normal.txt                     : Dependencies on EXT_light_texture
gl ext spec\NV\NV_pixel_buffer_object.txt                          : Dependencies on EXT_map_buffer_range
gl ext spec\EXT\EXT_base_instance.txt                              : Dependencies on EXT_multi_draw_indirect.
gl ext spec\EXT\EXT_light_texture.txt                              : Dependencies on EXT_multitexture
gl ext spec\NV\NV_conditional_render.txt                           : Dependencies on EXT_occlusion_query_boolean and OpenGL ES 3.0
gl ext spec\ARB\ARB_texture_rg.txt                                 : Dependencies on EXT_packed_depth_stencil
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on EXT_packed_depth_stencil and ARB_framebuffer_object
gl ext spec\ARB\ARB_texture_rectangle.txt                          : Dependencies on EXT_paletted_texture
gl ext spec\NV\NV_float_buffer.txt                                 : Dependencies on EXT_paletted_texture, SGIX_depth_texture, and NV_texture_shader
gl ext spec\ARB\ARB_pixel_buffer_object.txt                        : Dependencies on EXT_pixel_buffer_object
gl ext spec\ATI\ATI_envmap_bumpmap.txt                             : Dependencies on EXT_point_parameters
gl ext spec\ARB\ARB_vertex_program.txt                             : Dependencies on EXT_point_parameters and ARB_point_parameters
gl ext spec\ARB\ARB_post_depth_coverage.txt                        : Dependencies on EXT_post_depth_coverage
gl ext spec\NV\NV_shading_rate_image.txt                           : Dependencies on EXT_raster_multisample
gl ext spec\NV\NV_fragment_coverage_to_color.txt                   : Dependencies on EXT_raster_multisample and NV_framebuffer_mixed_samples
gl ext spec\ARB\ARB_vertex_array_bgra.txt                          : Dependencies on EXT_secondary_color
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on EXT_separate_shader_objects
gl ext spec\EXT\EXT_shader_image_load_store.txt                    : Dependencies on EXT_shader_atomic_counters
gl ext spec\ARB\ARB_shader_image_load_store.txt                    : Dependencies on EXT_shader_atomic_counters and ARB_shader_atomic_counters
gl ext spec\ARB\ARB_shader_image_load_store.txt                    : Dependencies on EXT_shader_image_load_store
gl ext spec\EXT\EXT_shader_image_load_formatted.txt                : Dependencies on EXT_shader_image_load_store and NV_gpu_program5
gl ext spec\NV\NV_shader_atomic_float.txt                          : Dependencies on EXT_shader_image_load_store, ARB_shader_image_load_store, and GLSL 4.20
gl ext spec\NV\NV_gpu_program5_mem_extended.txt                    : Dependencies on EXT_shader_image_load_store, NV_shader_storage_buffer_object, and NV_compute_program5
gl ext spec\AMD\AMD_gpu_shader_int64.txt                           : Dependencies on EXT_shader_integer_mix
gl ext spec\NV\NV_framebuffer_blit.txt                             : Dependencies on EXT_sRGB:
gl ext spec\AMD\AMD_stencil_operation_extended.txt                 : Dependencies on EXT_stencil_wrap
gl ext spec\EXT\EXT_cmyka.txt                                      : Dependencies on EXT_subtexture
gl ext spec\EXT\EXT_primitive_bounding_box.txt                     : Dependencies on EXT_tessellation_shader
gl ext spec\EXT\EXT_convolution.txt                                : Dependencies on EXT_texture
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Dependencies on EXT_texture_array
gl ext spec\EXT\EXT_sparse_texture.txt                             : Dependencies on EXT_texture_border_clamp
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on EXT_texture_buffer
gl ext spec\OES\OES_copy_image.txt                                 : Dependencies on EXT_texture_buffer or OES_texture_buffer
gl ext spec\EXT\EXT_geometry_shader4.txt                           : Dependencies on EXT_texture_buffer_object
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on EXT_texture_compression_bptc
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on EXT_texture_compression_rgtc
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on EXT_texture_compression_s3tc
gl ext spec\EXT\EXT_texture_array.txt                              : Dependencies on EXT_texture_compression_s3tc and NV_texture_compression_vtc
gl ext spec\ARB\ARB_copy_image.txt                                 : Dependencies on EXT_texture_compression_s3tc:
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on EXT_texture_cube_map_array
gl ext spec\EXT\EXT_sparse_texture2.txt                            : Dependencies on EXT_texture_cube_map_array and OES_texture_cube_map_array
gl ext spec\OES\OES_copy_image.txt                                 : Dependencies on EXT_texture_cube_map_array or OES_texture_cube_map_array
gl ext spec\ARB\ARB_seamless_cube_map.txt                          : Dependencies on EXT_texture_filter_anisotropic
gl ext spec\ARB\ARB_clear_texture.txt                              : Dependencies on EXT_texture_integer
gl ext spec\NV\NV_texture_shader.txt                               : Dependencies on EXT_texture_lod_bias
gl ext spec\ARB\ARB_texture_rectangle.txt                          : Dependencies on EXT_texture_mirror_clamp
gl ext spec\EXT\EXT_sparse_texture.txt                             : Dependencies on EXT_texture_norm16
gl ext spec\SGIS\SGIS_detail_texture.txt                           : Dependencies on EXT_texture_object
gl ext spec\ARB\ARB_fragment_program.txt                           : Dependencies on EXT_texture_rectangle
gl ext spec\ANGLE\ANGLE_pack_reverse_row_order.txt                 : Dependencies on EXT_texture_rg
gl ext spec\EXT\EXT_packed_float.txt                               : Dependencies on EXT_texture_shared_exponent
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on EXT_texture_sRGB
gl ext spec\ARB\ARB_framebuffer_sRGB.txt                           : Dependencies on EXT_texture_sRGB and ARB_framebuffer_object
gl ext spec\EXT\EXT_framebuffer_sRGB.txt                           : Dependencies on EXT_texture_sRGB and EXT_framebuffer_object
gl ext spec\ANGLE\ANGLE_texture_usage.txt                          : Dependencies on EXT_texture_storage
gl ext spec\OES\OES_required_internalformat.txt                    : Dependencies on EXT_texture_type_2_10_10_10_REV
gl ext spec\EXT\EXT_texture_sRGB_R8.txt                            : Dependencies on EXT_texture_view
gl ext spec\OES\OES_copy_image.txt                                 : Dependencies on EXT_texture_view or OES_texture_view:
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on EXT_texture_view:
gl ext spec\ATI\ATI_texture_mirror_once.txt                        : Dependencies on EXT_texture3D
gl ext spec\ARB\ARB_texture_mirror_clamp_to_edge.txt               : Dependencies on EXT_texture3D or equivalent
gl ext spec\NV\NV_explicit_multisample.txt                         : Dependencies on EXT_timer_query
gl ext spec\NV\NV_present_video.txt                                : Dependencies on EXT_timer_query:
gl ext spec\ARB\ARB_transform_feedback2.txt                        : Dependencies on EXT_transform_feedback
gl ext spec\ARB\ARB_provoking_vertex.txt                           : Dependencies on EXT_transform_feedback, NV_transform_feedback, and/or the transform feedback functionality integrated into the core by OpenGL
gl ext spec\EXT\EXT_provoking_vertex.txt                           : Dependencies on EXT_transform_feedback, NV_transform_feedback, and/or the transform feedback functionality integrated into the core by OpenGL 3.0:
gl ext spec\ARB\ARB_vertex_array_bgra.txt                          : Dependencies on EXT_vertex_array
gl ext spec\NV\NV_vertex_attrib_integer_64bit.txt                  : Dependencies on EXT_vertex_attrib_64bit
gl ext spec\NV\NV_gpu_shader5.txt                                  : Dependencies on EXT_vertex_attrib_64bit and NV_vertex_attrib_integer_64bit
gl ext spec\NV\NV_vertex_program.txt                               : Dependencies on EXT_vertex_weighting
gl ext spec\ARB\ARB_fragment_program.txt                           : Dependencies on EXT_vertex_weighting and ARB_vertex_blend
gl ext spec\SGIX\GLX_SGIX_fbconfig.txt                             : Dependencies on EXT_visual_info
gl ext spec\SGIX\GLX_SGIX_fbconfig.txt                             : Dependencies on EXT_visual_rating
gl ext spec\ARB\ARB_debug_output.txt                               : Dependencies on GL and ES profiles, versions, and other extensions
gl ext spec\ARB\ARB_sparse_buffer.txt                              : Dependencies on GL_ARB_direct_state_access
gl ext spec\ARB\ARB_shader_clock.txt                               : Dependencies on GL_ARB_gpu_shader_int64
gl ext spec\ARB\ARB_shader_draw_parameters.txt                     : Dependencies on GL_ARB_indirect_parameters
gl ext spec\ARB\ARB_shader_draw_parameters.txt                     : Dependencies on GL_ARB_multi_draw_indirect
gl ext spec\AMD\AMD_gcn_shader.txt                                 : Dependencies on GL_ARB_shader_group_vote:
gl ext spec\ARB\WGL_ARB_render_texture.txt                         : Dependencies on GL_ARB_texture_cube_map
gl ext spec\NV\NV_vdpau_interop.txt                                : Dependencies on GL_ARB_texture_non_power_of_two
gl ext spec\NV\NV_vdpau_interop.txt                                : Dependencies on GL_ARB_texture_rectangle
gl ext spec\AMD\AMD_occlusion_query_event.txt                      : Dependencies on GL_EXT_depth_bounds_test
gl ext spec\ARB\ARB_buffer_storage.txt                             : Dependencies on GL_EXT_direct_state_access
gl ext spec\ARB\ARB_sparse_texture.txt                             : Dependencies on GL_EXT_direct_state_access and GL_ARB_direct_state_access
gl ext spec\NV\NV_fragment_program.txt                             : Dependencies on GL_NV_vertex_program
gl ext spec\OES\OES_EGL_image_external.txt                         : Dependencies on GL_OES_EGL_image
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Dependencies on GLSL 1.40 and earlier
gl ext spec\NV\NV_shader_atomic_float.txt                          : Dependencies on GLSL 4.30, ARB_shader_storage_buffer_object, and ARB_compute_shader
gl ext spec\3DFX\3DFX_multisample.txt                              : Dependencies on GLX 1.3 and GLX_EXT_fbconfig
gl ext spec\ARB\GLX_ARB_create_context.txt                         : Dependencies on GLX_ARB_create_context
gl ext spec\NV\NV_present_video.txt                                : Dependencies on GLX_NV_video_out:
gl ext spec\EXT\GLX_EXT_buffer_age.txt                             : Dependencies on GLX_OML_sync_control
gl ext spec\EXT\GLX_EXT_stereo_tree.txt                            : Dependencies on GLX_SGIX_pbuffer
gl ext spec\SGIX\SGIX_packed_6bytes.txt                            : Dependencies on Histogram
gl ext spec\ARB\ARB_occlusion_query.txt                            : Dependencies on HP_occlusion_test
gl ext spec\NV\NV_texture_rectangle.txt                            : Dependencies on IBM_mirrored_repeat
gl ext spec\IBM\IBM_texture_mirrored_repeat.txt                    : Dependencies on IBM_texture_edge_clamp
gl ext spec\EXT\EXT_pvrtc_sRGB.txt                                 : Dependencies on IMG_texture_compression_pvrtc2
gl ext spec\NV\NV_internalformat_sample_query.txt                  : Dependencies on KHR_debug
gl ext spec\EXT\EXT_texture_border_clamp.txt                       : Dependencies on KHR_texture_compression_astc_{ldr,hdr}
gl ext spec\EXT\EXT_copy_image.txt                                 : Dependencies on KHR_texture_compression_astc_hdr
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Dependencies on KHR_texture_compression_astc_ldr
gl ext spec\AMD\AMD_gpu_shader_half_float_fetch.txt                : Dependencies on KHR_vulkan_glsl
gl ext spec\AMD\AMD_gpu_shader_int16.txt                           : Dependencies on KHR_vulkan_glsl:
gl ext spec\ARB\ARB_shader_storage_buffer_object.txt               : Dependencies on NV_bindless_texture
gl ext spec\ARB\ARB_compute_variable_group_size.txt                : Dependencies on NV_compute_program5
gl ext spec\NVX\NVX_conditional_render.txt                         : Dependencies on NV_conditional_render
gl ext spec\NV\NV_shading_rate_image.txt                           : Dependencies on NV_conservative_raster
gl ext spec\NV\NV_shading_rate_image.txt                           : Dependencies on NV_conservative_raster_underestimation
gl ext spec\NV\NV_read_depth_stencil.txt                           : Dependencies on NV_depth_buffer_float2:
gl ext spec\NV\NV_fragment_program.txt                             : Dependencies on NV_depth_clamp
gl ext spec\EXT\EXT_multiview_draw_buffers.txt                     : Dependencies on NV_draw_buffers:
gl ext spec\NV\NV_instanced_arrays.txt                             : Dependencies on NV_draw_instanced
gl ext spec\NV\NV_framebuffer_blit.txt                             : Dependencies on NV_fbo_color_attachments:
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Dependencies on NV_float_buffer
gl ext spec\ARB\ARB_fragment_coord_conventions.txt                 : Dependencies on NV_fragment_program extension
gl ext spec\NV\NV_fragment_program2.txt                            : Dependencies on NV_fragment_program2_option
gl ext spec\ARB\ARB_post_depth_coverage.txt                        : Dependencies on NV_fragment_program4
gl ext spec\ARB\ARB_fragment_coord_conventions.txt                 : Dependencies on NV_fragment_program4 extension
gl ext spec\NV\NV_framebuffer_multisample.txt                      : Dependencies on NV_framebuffer_blit
gl ext spec\NV\NV_sample_mask_override_coverage.txt                : Dependencies on NV_framebuffer_mixed_samples
gl ext spec\NV\NV_framebuffer_mixed_samples.txt                    : Dependencies on NV_framebuffer_multisample
gl ext spec\NV\NV_framebuffer_blit.txt                             : Dependencies on NV_framebuffer_multisample:
gl ext spec\EXT\EXT_texture_array.txt                              : Dependencies on NV_geometry_program4
gl ext spec\NV\NV_transform_feedback.txt                           : Dependencies on NV_geometry_program4 and EXT_geometry_shader4
gl ext spec\NV\NV_geometry_shader_passthrough.txt                  : Dependencies on NV_geometry_program4 and NV_gpu_program4
gl ext spec\NV\NV_geometry_shader_passthrough.txt                  : Dependencies on NV_geometry_shader4 and NV_gpu_shader4
gl ext spec\ARB\ARB_fragment_layer_viewport.txt                    : Dependencies on NV_gpu_program4
